species,Synurbic,cites,Type of anth roosting structure,Reference 1,Reference 2,Reference 3,Complete,Reference No,Year(s) of Pub,Comments,
Rhinolophus inops,0,3,NA,https://d1wqtxts1xzle7.cloudfront.net/36596589/JBES-Vol5No6-p122-132-libre.pdf?1423655331=&response-content-disposition=inline%3B+filename%3DSpecies_diversity_of_terrestrial_vertebr.pdf&Expires=1672700626&Signature=XgrywmyWtDA6wv7AjVtcuSx9rMRCas8nMiebEN~lC2uUBQc6doVjfYTAyxSWjrG2U3QkHPsCHVrJtTDt3jgZzv1g6GUHvvZGqlDr1pftPpV5BEAyjaNuuCv5DOMeWIIeYCF0jWPRtIB1aNmuuebMfVuAKfH4l~8YnaMCpwVIs6XHl1pNOmcPR~LaCcsqfCCAsDj6r5WFZKr7nCIoYBAMC82aafXD1jG~~fFxzfYnC~DoEC33bh2~5Igux4CbOyl~CXojkbR0x30KMANw4pmiceCPg1it5gAOs-oTOfPdjJlSy-3yfaMbqZjABIEI9xI74-HNxnqd8~O2PIk7rPH3uQ__&Key-Pair-Id=APKAJLOHF5GGSLRBV4ZA,http://doi.org/10.5281/zenodo.3748525,,yes,"469, 456","2014, 2019","caves, rock crevices, tree hollows, and foilage",
Rhinolophus kahuzi,0,0,NA,https://dx.doi.org/10.2305/IUCN.UK.2020-2.RLTS.T82347204A82347492.en.,,,yes,470,2016,"assumed to roost in caves, only one specimine",
Rhinolophus keyensis,0,0,NA,https://dx.doi.org/10.2305/IUCN.UK.2016-2.RLTS.T19577A21992519.en,,,yes,471,2016,"data deficient, no relevent search results in GS, IUCN presumes that it is cave roosting however",
Rhinolophus landeri,1,2,"mine adit, thatched buildlings, wells",https://doi.org/10.2307/3504478,http://doi.org/10.5281/zenodo.3748525,,yes,"472, 456","1997, 2019",,
Rhinolophus lepidus,1,4,"unused tunnels, old and ruined buildings, old temples",http://doi.org/10.5281/zenodo.3748525,,,yes,456,2019,,
Rhinolophus luctoides,NA,0,,https://doi.org/10.3161/15081109ACC2015.17.1.001,,,yes,NA,NA,"leaving as NA, recently seprated from R. luctus, no relevent roosting information found, very few GS search results (less than 1 page)",
Rhinolophus luctus,1,2,old mine shafts,https://dx.doi.org/10.2305/IUCN.UK.2019-3.RLTS.T19548A21977086.en,,,yes,473,2019,,
Rhinolophus mabuensis,NA,0,,,,,yes,NA,NA,"leacing as NA, few GS results, no specific structure found. ",
Rhinolophus maclaudi,1,0,house,https://hdl.handle.net/11858/00-001M-0000-0028-8D50-3,http://doi.org/10.5281/zenodo.3748525,,yes,"474, 456","2002, 2019",,
Rhinolophus macrotis,1,6,abandoned mine,http://doi.org/10.5281/zenodo.3748525,,,yes,456,2019,,
Rhinolophus madurensis,0,0,NA,http://doi.org/10.5281/zenodo.3748525,,,yes,456,2019,cave roosting,
Rhinolophus maendeleo,0,0,NA,http://doi.org/10.5281/zenodo.3748525,,,yes,456,2019,cave roosting,
Rhinolophus malayanus,0,2,NA,https://doi.org/10.1515/mammalia-2019-0062,http://doi.org/10.5281/zenodo.3748525,,yes,"475, 456","2020, 2019",cave roosting,
Rhinolophus marshalli,0,0,NA,http://doi.org/10.5281/zenodo.3748525,,,yes,456,2019,cave roosting,
Rhinolophus megaphyllus,1,1,"mine adits, unused buildings",https://doi.org/10.7882/AZ.2014.008,http://doi.org/10.5281/zenodo.3748525,,yes,"476, 456","2014, 2019",,
Rhinolophus mehelyi,1,6,abandoned house,https://d1wqtxts1xzle7.cloudfront.net/30182115/acta_soc_zool_bohem_2003-04-libre.pdf?1390879749=&response-content-disposition=inline%3B+filename%3DBats_Mammalia_Chiroptera_of_the_Eastern.pdf&Expires=1672708329&Signature=OYL5vKHRQxAFk~Fwd7Yoc~JzSAh80wMOSYVxpJkahlXveBmErzlImI7efjyVxGuxjeaInQqLxFwY9JqIDhfwtq7ccZTk3zD2iqw7Q0Yy~eQHFN613GKnEL6X5GRC0oxD~MEZau72fE2IwIDzcbaBx~5T0PW4mWPNcf-kLGzy~4o7TgUIvQczrtXVn2vCrG040vvBJlRgN-i1US~5MZGPOjC~10YcjfoqAr7DuSnM-SHBXwub8SgkAo9Hn0y6IoPxPwIfwny5UjcE5wbS2AAMhq8dHEM5wcdhRRL1jgnugEakXWqgeN5qWV~jHnAO0UYARYr-2HwG5XPnjZCa5-TWZg__&Key-Pair-Id=APKAJLOHF5GGSLRBV4ZA,http://doi.org/10.5281/zenodo.3748525,,yes,"477, 456","2006, 2019",,
Rhinolophus mitratus,NA,0,,,,,yes,NA,NA,"leaving as NA, data deficient, no roosing data found. There is a statement by IUCN that they may roost in caves but no citation or ""suspected""",
Rhinolophus montanus,0,0,NA,http://doi.org/10.5281/zenodo.3748525,,,yes,456,2019,cave roosting,
Rhinolophus mossambicus,0,0,NA,https://doi.org/10.1371/journal.pone.0041744,,,yes,478,2012,roost in limestone caves,
Rhinolophus nereis,NA,0,,,,,yes,NA,NA,"leaving as NA, data deficient, no roosing data found",
Rhinolophus osgoodi,0,0,NA,https://dx.doi.org/10.2305/IUCN.UK.2020-3.RLTS.T19557A21992735.en,,,yes,479,2020,cave roosting,
Rhinolophus paradoxolophus,0,0,NA,https://doi.org/10.1644/731,,,yes,480,2003,,
Rhinolophus pearsonii,1,0,bomb shelter,https://dx.doi.org/10.2305/IUCN.UK.2019-3.RLTS.T19559A21993105.en,,,yes,481,2019,,
Rhinolophus philippinensis,1,3,abandoned mines,http://doi.org/10.5281/zenodo.3748525,,,yes,456,2019,,
Rhinolophus pusillus,1,18,roofs of bungalows,http://doi.org/10.5281/zenodo.3748525,,,yes,456,2019,,
Rhinolophus rex,1,1,buildlings,https://dx.doi.org/10.2305/IUCN.UK.2020-2.RLTS.T19562A21994639.en,,,yes,482,2020,,
Rhinolophus robinsoni,0,0,NA,http://doi.org/10.5281/zenodo.3748525,,,yes,456,2019,rock boulder and palm roosting,
Rhinolophus rouxii,1,2,"disused wells, dilapidated buildings, and temples",http://doi.org/10.5281/zenodo.3748525,,,yes,456,2019,,
Rhinolophus rufus,0,0,NA,http://doi.org/10.5281/zenodo.3748525,,,yes,456,2019,rock overhanges and possibly caves,
Rhinolophus ruwenzorii,1,0,abandoned mines,https://www.researchgate.net/publication/258277486,http://doi.org/10.5281/zenodo.3748525,,yes,"483, 456","2013, 2019",,
Rhinolophus sakejiensis,0,0,NA,https://doi.org/10.1017/S0952836902000201,,,yes,484,2002,foilage and tree hollow roosting,
Rhinolophus schnitzleri,0,0,NA,https://doi.org/10.2108/zsj.28.235,,,yes,485,2011,cave roosting,
Rhinolophus sedulus,1,1,drainage pipes and culverts,https://doi.org/10.3161/15081109ACC2021.23.1.001,http://doi.org/10.5281/zenodo.3748525,,yes,"486, 456","2021, 2019",,
Rhinolophus shameli,0,2,NA,http://doi.org/10.5281/zenodo.3748525,,,yes,456,2019,cave roosting,
Rhinolophus shortridgei,NA,0,,,,,yes,NA,NA,"leaving as NA roosting ecology is not known, data deficient",
Rhinolophus siamensis,0,0,NA,http://doi.org/10.5281/zenodo.3748525,,,yes,456,2019,cave roosting,
Rhinolophus silvestris,NA,0,,,,,yes,NA,NA,"leaving as NA, data deficient, no confirmation of cave association or other structures found",
Rhinolophus simulator,1,2,mine adits,"Skinner and Chimimba 2005, pg 343-344",http://doi.org/10.5281/zenodo.3748525,,yes,"132, 456","2005, 2019",,
Rhinolophus sinicus,1,43,"disused temples, houses, tunnels, wells",https://archive.nationalredlist.org/files/2012/08/Status-of-South-Asian-Chiroptera-2002.pdf,http://doi.org/10.5281/zenodo.3748525,,yes,"487, 456","2002, 2019",,
Rhinolophus smithersi,1,0,disuse mine adits,https://dx.doi.org/10.2305/IUCN.UK.2017-2.RLTS.T64588371A64589277.en,,,yes,488,2017,,
Rhinolophus stheno,0,0,NA,https://doi.org/10.3161/150811008X414818,http://doi.org/10.5281/zenodo.3748525,,yes,"489, 456","2008, 2019",cave roosting,
Rhinolophus subbadius,0,0,NA,https://archive.nationalredlist.org/files/2012/08/Status-of-South-Asian-Chiroptera-2002.pdf,10.4311/2013PA0119,,yes,"487, 490","2002, 2014",cave roosting,
Rhinolophus subrufus,0,1,NA,https://www.researchgate.net/publication/236597718,http://doi.org/10.5281/zenodo.3748525,,yes,"491, 456","1998, 2019",cave roosting,
Rhinolophus swinnyi,1,2,disused mines,https://doi.org/10.1371/journal.pone.0148053,"Skinner and Chimimba 2005, pg 345-346",,yes,"492, 132","2016, 2005",,
Rhinolophus thailandensis,0,0,NA,http://doi.org/10.5281/zenodo.3748525,,,yes,456,2019,cave roosting,
Rhinolophus thomasi,0,2,NA,https://doi.org/10.3161/1508110042176653,https://doi.org/10.3390/d14070534,,yes,"493, 494","2004, 2022",cave roosting,
Rhinolophus trifoliatus,0,0,NA,https://doi.org/10.3161/150811005775162632,http://doi.org/10.5281/zenodo.3748525,,yes,"354, 456","2005, 2019",foliage roosting,
Rhinolophus virgo,1,1,culvert,http://doi.org/10.5281/zenodo.3748525,,,yes,456,2019,cave roosting and tree butress,
Rhinolophus willardi,1,0,mines,https://dx.doi.org/10.2305/IUCN.UK.2020-2.RLTS.T82346260A82347169.en,,,yes,495,2020,"IUCN presumes that this bat roosts in caves and mines, however confirmation not found",
Rhinolophus xinanzhongguoensis,0,0,NA,https://doi.org/10.1644/08-MAMM-A-048.1,,,yes,496,2009,"Not many GS search results, initial paper found some individuals in caves ",
Rhinolophus yunanensis,1,0,thatched roofs,http://doi.org/10.5281/zenodo.3748525,,,yes,456,2019,,
Rhinolophus ziama,1,0,"mine-shafts, houses",https://dx.doi.org/10.2305/IUCN.UK.2020-2.RLTS.T44786A22068674.en,,,yes,497,2020,assumed to have similar habits as R. maclaudi,
Rhinonicteris aurantia,1,1,mines,"Nowak 1994, pg 116-117",http://doi.org/10.5281/zenodo.3748525,,yes,"1, 87","1994, 2019",,
Rhinophylla alethina,NA,0,,,,,yes,NA,NA,"Leaving as NA, roosting ecology/sites unknown",
Rhinophylla fischerae,NA,0,,,,,yes,NA,NA,"Leaving as NA, roosting ecology/sites unknown",
Rhinophylla pumilio,1,4,"culverts, thatched roofs",https://doi.org/10.1644/791.1,,,yes,498,2006,,
Rhinopoma hadramauticum,1,0,unused house,https://publikace.nm.cz/file/45c808a841f597c3272dd02a87085f0b/16117/177-2009-53-Benda.pdf,,,yes,499,2009,,
Rhinopoma hardwickii,1,5,"ruins, catacombs, old buildings, mosques",https://doi.org/10.2307/3503821,"Nowak 1994, pg 86-87",,yes,"500, 1","1986, 1994",,
Rhinopoma macinnesi,1,0,"pyramids, palaces, houses","Nowak 1994, pg 86-87",,,yes,1,1994,based on genus trends,
Rhinopoma microphyllum,1,7,"ruins, mosques, temples, tunnels, old buildings",https://doi.org/10.2307/3504243,"Nowak 1994, pg 86-87",,yes,"501, 1","1996, 1994",,
Rhinopoma muscatellum,1,2,disused buidlings,https://dx.doi.org/10.2305/IUCN.UK.2019-3.RLTS.T19602A21997131.en,"Nowak 1994, pg 86-87",,yes,"502, 1","2019, 2019",,
Rhogeessa aeneus,NA,1,,,,,yes,NA,NA,"leaving as NA, roosting structures could not be identified, considered uncommon to encounter",
Rhogeessa alleni,NA,0,,,,,yes,NA,NA,"leaving as NA, roosting structures could not be identified, considered uncommon to encounter",
Rhogeessa bickhami,NA,0,,,,,yes,NA,NA,"leaving as NA, roosting structures could not be identified, considered uncommon to encounter",
Rhogeessa genowaysi,NA,0,,,,,yes,NA,NA,"leaving as NA, roosting structures could not be identified, considered uncommon to encounter, may be misidentified as R. tumida",
Rhogeessa gracilis,NA,0,,,,,yes,NA,NA,"leaving as NA, roosting structures could not be identified, considered uncommon to encounter",
Rhogeessa hussoni,NA,0,,,,,yes,NA,NA,"leaving as NA, roosting structures could not be identified, considered uncommon to encounter, listed as data deficient",
Rhogeessa io,NA,1,,,,,yes,NA,NA,"leaving as NA, roosting structures could not be identified through GS search, IUCN states sites are unknon",
Rhogeessa menchuae,NA,0,,,,,yes,NA,NA,"leaving as NA, roosting structures could not be identified through GS search, considered data deficient, very few specimines/captures recorded",
Rhogeessa minutilla,0,0,NA,https://doi.org/10.1078/1616-5047-00167,,,yes,503,2004,found in columnar cactus,
Rhogeessa mira,NA,0,,,,,yes,NA,NA,"leaving as NA, roosting structures could not be identified/roosting ecology unknown, considered uncommon to encounter, ",
Rhogeessa parvula,0,1,NA,https://doi.org/10.12933/therya-18-548,,,yes,504,2018,"record of this bat in a cave, gbif states they are captured in buildings but source of this information is unclear.",
Rhogeessa tumida,1,2,church,https://doi.org/10.1644/1545-1410(2001)668<0001:MB>2.0.CO;2,http://doi.org/10.5281/zenodo.6397752,,yes,"283, 154","2001, 2019",observed in a church where Molossus bondae were roosting,
Rhynchonycteris naso,1,5,"culverts, under bridges",https://digitallibrary.amnh.org/handle/2246/1634,,,yes,210,1998,"tree branches and cavities, and rock crevicies",
Rousettus aegyptiacus,1,206,"underground irrigation tunnels (ghanats), ruins, tombs, mines, military bunkers, underground parkings and open wells",http://doi.org/10.5281/zenodo.6448815,https://doi.org/10.2307/3504411,,yes,"505, 83","1999, 2019",,
Rousettus amplexicaudatus,1,10,old tombs,http://doi.org/10.5281/zenodo.6448815,,,yes,83,2019,,
Rousettus bidens,0,0,NA,http://doi.org/10.5281/zenodo.6448815,,,yes,83,2019,cave roosting,
Rousettus celebensis,0,0,NA,https://doi.org/10.13057/biodiv/d220609,http://doi.org/10.5281/zenodo.6448815,,yes,"506, 83","2021, 2019",cave and tree roosting,
Rousettus lanosus,1,2,mine adit,https://repository.naturalis.nl/pub/504952,,,yes,507,1997,cave roosting,
Rousettus leschenaultii,1,27,"forts, houses, water tunnels, abandoned buildings",https://www.researchgate.net/publication/272064781,https://doi.org/10.14709/BarbJ.13.1.2020.13,,yes,"508, 509","2015, 2020",,
Rousettus linduensis,NA,0,,,,,yes,NA,NA,"leaving as NA, roosting structures could not be identified, only four specimines found, listed as data deficient",
Rousettus madagascariensis,0,9,NA,http://doi.org/10.5281/zenodo.6448815,https://doi.org/10.1515/mamm.2010.071,,yes,"83, 510","2019, 2010",cave and possibly tree cavity roosting,
Rousettus obliviosus,0,0,NA,http://doi.org/10.5281/zenodo.6448815,,,yes,83,2019,cave roosting and shallow rock shelters,
Rousettus spinalatus,0,0,NA,http://doi.org/10.5281/zenodo.6448815,,,yes,83,2019,cave roosting,
Saccolaimus flaviventris,1,5,buildings,http://doi.org/10.5281/zenodo.3740269,,,yes,144,2019,,
Saccolaimus mixtus,0,0,NA,http://doi.org/10.5281/zenodo.3740269,,,yes,144,2019,tree hollows and cave,
Saccolaimus peli,0,0,NA,http://doi.org/10.5281/zenodo.3740269,,,yes,144,2019,roosts in tree cavities and hollows,
Saccolaimus saccolaimus,1,0,old tombs and buildings,"Nowak 1994, pg 90",http://doi.org/10.5281/zenodo.3740269,,yes,"1, 144","1994, 2019",,
Saccopteryx antioquensis,1,0,church wall,http://doi.org/10.5281/zenodo.3740269,,,yes,144,2019,,
Saccopteryx bilineata,1,20,"buildings, under bridges, ruins",https://doi.org/10.2307/3504459,"Nowak 1994, pg 96-97",,yes,"511, 1","1998, 1994",,
Saccopteryx canescens,0,0,NA,https://doi.org/10.1206/3870.1,,,yes,512,2016,"paper suggests that they might roost in trees (https://doi.org/10.1206/3870.1), mentions evidence of rock roost and observations in tree",
Saccopteryx gymnura,NA,0,,,,,yes,NA,NA,"leaving as NA, roosting structures could not be identified, rare and data deficient",
Saccopteryx leptura,0,2,NA,https://doi.org/10.2307/3504379,,,yes,513,1998,tree roosting,
Sauromys petrophilus,0,1,NA,"Nowak 1994, pg 233-234",https://doi.org/10.2307/3504373,,yes,"1, 514","1994, 2002",roosts in rock crevices/under rocks,
Scleronycteris ega,NA,0,,,,,yes,NA,NA,"leaving as NA, roosting structures could not be identified, rare and data deficient",
Scoteanax rueppellii,1,0,roofs of old buildings,"Nowak 1994, pg 209",,,yes,1,1994,,
Scotoecus albofuscus,0,0,NA,https://journals.co.za/doi/pdf/10.10520/AJA0012723X_1906,http://doi.org/10.5281/zenodo.6397752,,yes,"515, 154","2004, 2019","leaving as NA, roosting structures could not be identified, rare and data deficient",
Scotoecus hirundo,1,1,under roofs of huts and houses,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Scotoecus pallidus,1,0,old buildlings,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Scotomanes ornatus,0,0,NA,"Nowak 1994, pg 211-212",,,yes,1,1994,cave and foilage roosting,
Scotonycteris bergmansi,0,0,NA,https://doi.org/10.1016/j.crvi.2014.12.003,,,yes,516,2015,roosts in vegetation,
Scotonycteris occidentalis,0,0,NA,https://dx.doi.org/10.2305/IUCN.UK.2021-1.RLTS.T84466273A84466694.e,,,yes,517,2021,"roost in vegetation/foilage, once was a sub species of S. zenkeri",
Scotonycteris zenkeri,0,2,NA,https://dx.doi.org/10.2305/IUCN.UK.2021-1.RLTS.T84464403A192236400.en,"Nowak 1994, pg 68-69",,yes,"518, 1","2021, 1994",roost in foilage/tree dwelling S. zenkeri,
Scotophilus andrewreborii,NA,0,,,,,yes,NA,NA,"leaving as NA, roosting ecology not known",
Scotophilus borbonicus,NA,1,,,,,yes,NA,NA,"leaving as NA, roosting ecology not known/infomation only on one specimen which is in question, data deficient",
Scotophilus celebensis,NA,0,,,,,yes,NA,NA,"leaving as NA, roosting ecology not known",
Scotophilus collinus,1,0,roofs of houses,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,Wilson 2019 states roosting in houses,
Scotophilus dinganii,1,1,"roof of building, metal weather-covering of an electrical conduit pipe",https://doi.org/10.1644/08-MAMM-A-235.1,http://doi.org/10.5281/zenodo.6397752,,yes,"519, 154","2009, 2019",,
Scotophilus ejetai,NA,0,,,,,yes,NA,NA,"leaving as NA, roosting ecology not known, paper (https://www.depts.ttu.edu/nsrl/publications/downloads/OP326.pdf) mentions bridge at capture location but cannot confrim that it was using the bridge",
Scotophilus heathii,1,5,"old forts, buildings",http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Scotophilus kuhlii,1,15,"roofs of old houses, temples, and huts",https://doi.org/10.11609/JoTT.o1989.1234-6,http://doi.org/10.5281/zenodo.6397752,,yes,"520, 154","2010, 2019",,
Scotophilus leucogaster,1,3,under iron roofs of old houses,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Scotophilus livingstonii,NA,0,,,,,yes,NA,NA,"leaving as NA, roosting structures could not be identified",
Scotophilus marovaza,1,0,roof of house made of palm leaves,https://doi.org/10.3161/1733-5329(2006)8[21:ANSOSC]2.0.CO;2,,,yes,521,2006,,
Scotophilus nigrita,1,0,house,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Scotophilus nucella,NA,0,,,,,yes,NA,NA,"leaving as NA, roosting structures could not be identified, data deficient",
Scotophilus nux,NA,0,,,,,yes,NA,NA,"leaving as NA, roosting structures could not be identified",
Scotophilus robustus,1,1,"house, old school building, government office",https://www.africanbats.org/Documents/Papers/ABCN/Ratrimomanarivo_and_Goodman_2005.pdf,,,yes,522,2005,,
Scotophilus tandrefana,NA,0,,,,,yes,NA,NA,"leaving as NA, roosting structures could not be identified, data deficient",
Scotophilus trujilloi,NA,0,,,,,yes,NA,NA,"leaving as NA, roosting structures could not be identified",
Scotophilus viridis,0,0,NA, https://hdl.handle.net/10520/EJC117330,,,yes,523,2010,"tree hollow roositng, no records of buildings found but IUCN report says ""probably roost in buldlings"".",
Scotorepens balstoni,1,1,"building roofs, under metal caps of power poles",http://doi.org/10.5281/zenodo.6397752,"Norwak 1994, pg 209-210",,yes,"154, 1","2019, 1994",,
Scotorepens greyii,1,0,disused buildlings,http://doi.org/10.5281/zenodo.6397752,"Norwak 1994, pg 209-210",,yes,"154, 1","2019, 1994",,
Scotorepens orion,1,0,buidings and nest boxes,https://dx.doi.org/10.2305/IUCN.UK.2021-3.RLTS.T14945A209531493.en,"Norwak 1994, pg 209-210",,yes,"524, 1",2021,,
Scotorepens sanborni,1,0,buildings,http://doi.org/10.5281/zenodo.6397752,"Norwak 1994, pg 209-210",,yes,"154, 1","2019, 1994",,
Scotozous dormeri,1,1,"under roof tiles, old temples, disused buildings, and tombs","Norwal 1994, pg 195-196",http://doi.org/10.5281/zenodo.6397752,,yes,"1, 154","1994, 2019",,
Sphaerias blanfordi,NA,0,,https://dx.doi.org/10.2305/IUCN.UK.2021-3.RLTS.T20521A22100101.en,"Norwak 1994, pg 73-74",,yes,NA,NA,associated with bamboo forests but roosting structure not found,
Sphaeronycteris toxophyllum,0,0,NA,https://doi.org/10.1644/814.1,,,yes,525,2008,appears to be tree roosting (found in many forests and recorded in a ficus),
Stenoderma rufum,0,2,NA,http://doi.org/10.5281/zenodo.6458594,,,yes,41,2019,roosts in forest canopy,
Sturnira angeli,NA,0,,,,,yes,NA,NA,"leaving as NA, roosting structures could not be identified/not well known",
Sturnira aratathomasi,NA,1,,,,,yes,NA,NA,"leaving as NA, roosting structures could not be identified/not well known, rare to encounter",
Sturnira bakeri,NA,2,,,,,yes,NA,NA,"leaving as NA, roosting structures could not be identified/not well known",
Sturnira bidens,0,0,NA,https://doi.org/10.2307/3504017,,,yes,526,1987,cave roosting,
Sturnira bogotensis,NA,0,,,,,yes,NA,NA,"leaving as NA, roosting structures could not be identified/not well known",
Sturnira burtonlimi,NA,3,,,,,yes,NA,NA,"leaving as NA, roosting structures could not be identified/not well known, data deficient and rare species",
Sturnira erythromos,0,1,NA,https://doi.org/10.1644/729,,,yes,527,2003,tree hollow roosting,
Sturnira hondurensis,0,2,NA,https://doi.org/10.1093/mspecies/seab003,,,yes,528,2021,tree hollow roosting,
Sturnira koopmanhilli,NA,0,,,,,yes,NA,NA,"leaving as NA, roosting structures could not be identified/not well known, data deficient and rare species",
Sturnira lilium,1,58,buildings,https://doi.org/10.2307/3504237,,,yes,529,1989,,
Sturnira ludovici,1,2,abandoned mine shaft,http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0327-93832013000100012,,,yes,530,2013,,
Sturnira luisi,NA,1,,,,,yes,NA,NA,"Leaving as NA, ecology not well known, often misidentified as S. lilium and S. Parvidens",
Sturnira magna,NA,0,,,,,yes,NA,NA,"possibly hollow tree roosting as it is often trapped in same areas of S. lilium, conflicting source with GBIF/Wilson 2019 (expected roost types include human-made strucutures).",
Sturnira mistratensis,NA,0,,,,,yes,NA,NA,"data deficient, only known from one specimen, roosting ecology unknown, leaving as NA",
Sturnira mordax,NA,0,,,,,yes,NA,NA,"could not locate roosting sites, only associated habitat/vegetation, leaving as NA",
Sturnira nana,NA,0,,,,,yes,NA,NA,"could not locate roosting sites, only associated habitat/vegetation, leaving as NA",
Sturnira oporaphilum,NA,1,,,,,yes,NA,NA,"roosting ecology not known/could not locate, leaving as NA",
Sturnira parvidens,0,9,NA,https://doi.org/10.1093/mspecies/seaa005,,,yes,531,2020,"cavities in trees, vine tangles, small holes in tree branches, and among palm leaves",
Sturnira paulsoni,NA,0,,,,,yes,NA,NA,"roosting ecology not known/could not locate, leaving as NA",
Sturnira perla,NA,0,,,,,yes,NA,NA,"data deficient, roosting ecology unknown, leaving as NA",
Sturnira sorianoi,NA,0,,,,,yes,NA,NA,"data deficient, roosting ecology unknown, leaving as NA",
Sturnira tildae,0,0,NA,https://doi.org/10.1093/mspecies/seab018,,,yes,532,2022,only one known roost site located in a cave,
Styloctenium mindorensis,NA,0,,,,,yes,NA,NA,"roosting ecology not known/could not locate, leaving as NA",
Styloctenium wallacei,NA,0,,,,,yes,NA,NA,"roosting ecology not known/could not locate, leaving as NA",
Submyotodon latirostris,1,1,buildings,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Syconycteris australis,0,5,NA,https://doi.org/10.1071/WR9930419,http://doi.org/10.5281/zenodo.6448815,,yes,"533, 83","1993, 2019",dense foilage of trees,
Syconycteris carolinae,NA,0,,,,,yes,NA,NA,"roosting ecology not known/could not locate, leaving as NA",
Syconycteris hobbit,NA,0,,,,,yes,NA,NA,"roosting ecology not known/could not locate, leaving as NA",
Tadarida aegyptiaca,1,2,"walls, creviced in old buildings, temples, banner boards, and forts",https://www.faunajournal.com/archives/2014/vol1issue5/PartB/27.1-366.pdf,,,yes,534,2014,,
Tadarida australis,1,2,ceilings of buildings,https://doi.org/10.7882/FS.2011.045,,,yes,535,2011,,
Tadarida brasiliensis,1,177,"bridges, attics",http://doi.org/10.5281/zenodo.6418279,"Norwak 1994, pg 238",,yes,"99, 1","2019, 1994",,
Tadarida fulminans,0,0,NA,http://doi.org/10.5281/zenodo.6418279,,,yes,99,2019,found in granite outcrops,
Tadarida insignis,1,0,outer walls of building and abandoned tunnel,https://dx.doi.org/10.2305/IUCN.UK.2019-3.RLTS.T136716A22036641.en,,,yes,536,2019,,
Tadarida jobimena,0,0,NA,http://doi.org/10.5281/zenodo.6418279,,,yes,99,2019,now Chaerephon jobimena IUCN says anth roosting but the cited paper provides evidence for cave roosting. Perhaps a typo?,
Tadarida kuboriensis,0,0,NA,https://dx.doi.org/10.2305/IUCN.UK.2021-3.RLTS.T136201A22009294.en,,,yes,537,2021,presumed to roost in trees,
Tadarida latouchei,0,1,NA,http://doi.org/10.5281/zenodo.6418279,,,yes,99,2019,caves,
Tadarida lobata,0,0,NA,https://dx.doi.org/10.2305/IUCN.UK.2017-2.RLTS.T21317A22121550.en,,,yes,538,2017,rocky crevices,
Tadarida teniotis,1,18,"bridges, buildings",http://doi.org/10.5281/zenodo.6418279,http://dx.doi.org/10.1016/j.mambio.2015.01.005,,yes,"99, 539","2019, 2015",,
Tadarida ventralis,1,0,"high rise building, houses",https://www.researchgate.net/publication/236108947,http://doi.org/10.5281/zenodo.6418279,,yes,"540, 99","1996, 2019",,
Taphozous achates,0,0,NA,http://doi.org/10.5281/zenodo.3740269,https://www.proquest.com/scholarly-journals/bacterial-pathogens-cave-dwelling-bats-that-are/docview/2330956540/se-2,,yes,"144, 541","2019, 2019",cave roosting,
Taphozous australis,1,0,"Old building, mines, and WWII bunkers",http://doi.org/10.5281/zenodo.3740269,"Nowak 1994, pg 88-89",,yes,"144, 1","2019, 1994",,
Taphozous georgianus,1,6,veritcal mine adits and horizonal shafts,http://doi.org/10.5281/zenodo.3740269,,,yes,144,2019,,
Taphozous hamiltoni,0,0,NA,http://doi.org/10.5281/zenodo.3740269,,,yes,144,2019,caves and rock fissures,
Taphozous hildegardeae,0,0,NA,http://doi.org/10.5281/zenodo.3740269,https://doi.org/10.2307/3504441,,yes,"144, 542","2019, 1998",cave roosting,
Taphozous hilli,1,0,disused mines,http://doi.org/10.5281/zenodo.3740269,,,yes,144,2019,,
Taphozous kapalgensis,0,0,NA,http://doi.org/10.5281/zenodo.3740269,,,yes,144,2019,"likely to be tree roosting as reported by Aboriginals, there is an obervation of this bat in a mine based on calls but is questioned by Milne et al 2003.",
Taphozous longimanus,1,11,"old tunnels, caves created due to mud excavation, old forts, dungeons, wells, and eaves of houses",http://doi.org/10.5281/zenodo.3740269,,,yes,144,2019,,
Taphozous mauritianus,1,3,"outer walls of buildings beneath over-hanging eaves,",https://doi.org/10.2307/3504189,https://dx.doi.org/10.2305/IUCN.UK.2017-2.RLTS.T21460A22111004.en,,yes,"542, 543","1996, 2017",,
Taphozous melanopogon,1,24,"old dilapidated buildings, dungeons of old forts, temples, abandoned mines, tunnels and churches",https://dx.doi.org/10.2305/IUCN.UK.2019-3.RLTS.T21461A22110277.en,,,yes,544,2019,,
Taphozous nudiventris,1,7,"tombs, temples, barns, houses, and underground tunnels",http://doi.org/10.5281/zenodo.3740269,,,yes,144,2019,,
Taphozous perforatus,1,6,"old forts, mosques, large old wells, artificial tunnels, and old disused buildings",https://dx.doi.org/10.2305/IUCN.UK.2020-1.RLTS.T21463A166505490.en,,,yes,546,2020,,
